new_name source_image source_label
redhard_039 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0514_d673033b.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0514_d673033b.txt
redhard_040 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0515_f98102fd.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0515_f98102fd.txt
redhard_041 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0516_9c312809.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0516_9c312809.txt
redhard_042 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0501_af5f9dc5.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0501_af5f9dc5.txt
redhard_043 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0502_d415aa7a.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0502_d415aa7a.txt
redhard_044 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0147_e68c27e5.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0147_e68c27e5.txt
redhard_045 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0148_a4b5e2fe.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0148_a4b5e2fe.txt
redhard_046 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0149_cfff7c0d.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0149_cfff7c0d.txt
redhard_047 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0150_0d65c0fc.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0150_0d65c0fc.txt
redhard_048 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0490_c4b23b04.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0490_c4b23b04.txt
redhard_049 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0491_510cca3f.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0491_510cca3f.txt
redhard_050 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0492_ef338988.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0492_ef338988.txt
redhard_051 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0493_734da9b4.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0493_734da9b4.txt
redhard_052 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0494_dbd4a9f1.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0494_dbd4a9f1.txt
redhard_053 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0495_1713dfbd.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0495_1713dfbd.txt
redhard_054 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0041_68c982be.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0041_68c982be.txt
redhard_055 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0042_019a3676.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0042_019a3676.txt
redhard_056 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0043_ecdd8c23.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0043_ecdd8c23.txt
redhard_057 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0484_390c862e.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0484_390c862e.txt
redhard_058 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0486_eb4d2bfb.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0486_eb4d2bfb.txt
redhard_059 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0487_71ea2e92.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0487_71ea2e92.txt
redhard_060 /home/ros/robot_ws/datasets/user_cube_dataset/active_remaining_530_20260816_000157/images/all/manual_0488_dae41133.jpg /home/ros/robot_ws/active_predictions/manual120_remaining530_20260816_000220/labels/manual_0488_dae41133.txt
